player_id,name,last_season,current_club_id,country_of_birth,age,sub_position,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name
1428,Mike Hanke,2013,60,Germany,39,Centre-Forward,Attack,right,185.0,L1,SC Freiburg
1726,Heiko Westermann,2016,610,Germany,39,Centre-Back,Defender,right,190.0,NL1,Ajax Amsterdam
2306,Markus Miller,2014,42,Germany,41,Goalkeeper,Goalkeeper,right,189.0,L1,Hannover 96
2878,Yassin Mikari,2012,750,Switzerland,40,Left-Back,Defender,left,172.0,FR1,FC Sochaux-Montbéliard
2899,Hervé Tum,2012,2292,Cameroon,44,Centre-Forward,Attack,right,184.0,TR1,Elazigspor
2923,Andreas Ivanschitz,2014,3368,Austria,39,Attacking Midfield,Midfield,left,183.0,ES1,Levante UD
3273,Matthew Upson,2014,1003,England,44,Centre-Back,Defender,left,185.0,GB1,Leicester City
3287,Steve Banks,2014,2578,England,51,Goalkeeper,Goalkeeper,right,180.0,SC1,St. Johnstone FC
3719,Peter Enckelman,2012,43,Finland,46,Goalkeeper,Goalkeeper,right,188.0,SC1,Heart of Midlothian FC
3875,Jermain Defoe,2021,124,England,40,Centre-Forward,Attack,right,171.0,SC1,Rangers FC
3876,Joe Cole,2015,405,England,41,Attacking Midfield,Midfield,right,176.0,GB1,Aston Villa
3924,Didier Drogba,2014,631,Cote d'Ivoire,45,Centre-Forward,Attack,both,189.0,GB1,Chelsea FC
4070,Liam Ridgewell,2013,984,England,38,Centre-Back,Defender,both,188.0,GB1,West Bromwich Albion
4086,Darren Ambrose,2013,441,England,39,Left Midfield,Midfield,right,183.0,GR1,Apollon Smyrnis
4361,Dennis Rommedahl,2013,235,Denmark,44,Right Winger,Attack,right,179.0,NL1,RKC Waalwijk
4742,Christophe Lepoint,2022,2715,Belgium,38,Central Midfield,Midfield,right,189.0,BE1,RFC Seraing
5308,Cédric Carrasso,2017,141,France,41,Goalkeeper,Goalkeeper,right,187.0,TR1,Galatasaray
5309,Damien Grégorini,2012,1159,France,44,Goalkeeper,Goalkeeper,right,194.0,FR1,AS Nancy-Lorraine
5474,Zoumana Camara,2014,583,France,44,Centre-Back,Defender,right,182.0,FR1,Paris Saint-Germain
5668,Anthony Réveillère,2014,289,France,43,Right-Back,Defender,right,180.0,GB1,Sunderland AFC
5825,Marco Borriello,2017,1390,Italy,40,Centre-Forward,Attack,left,186.0,IT1,Cagliari Calcio
5890,Sergio Almirón,2013,1627,Argentina,42,Central Midfield,Midfield,right,180.0,IT1,Catania SSD
5896,David Pizarro,2014,430,Chile,43,Central Midfield,Midfield,right,168.0,IT1,ACF Fiorentina
5936,Ivan Pelizzoli,2012,2921,Italy,42,Goalkeeper,Goalkeeper,right,197.0,IT1,Delfino Pescara 1936
6012,Stefano Lucchini,2014,1429,Italy,42,Centre-Back,Defender,right,186.0,IT1,Cesena FC
6076,David Di Michele,2012,862,Italy,47,Centre-Forward,Attack,both,170.0,IT1,Chievo Verona
6717,Giuseppe Colucci,2012,2921,Italy,42,Central Midfield,Midfield,right,180.0,IT1,Delfino Pescara 1936
6838,Henok Goitom,2015,3709,Sweden,38,Centre-Forward,Attack,right,189.0,ES1,Getafe CF
7109,Andrea Barzagli,2018,506,Italy,42,Centre-Back,Defender,right,187.0,IT1,Juventus FC
7237,Sabri Sarioglu,2017,1467,Turkey,38,Right-Back,Defender,right,170.0,TR1,Göztepe
7337,Alan Tate,2014,2288,England,40,Centre-Back,Defender,right,185.0,GB1,Swansea City
7423,Ömer Erdogan,2012,20,Germany,46,Centre-Back,Defender,right,191.0,TR1,Bursaspor
7985,David Generelo,2013,1531,Spain,40,Central Midfield,Midfield,right,181.0,ES1,Elche CF
8187,Juanmi Callejón,2012,2672,Spain,36,Left Winger,Attack,right,180.0,GR1,APO Levadiakos
8538,Tiago Mendes,2016,13,Portugal,42,Central Midfield,Midfield,right,183.0,ES1,Atlético de Madrid
9354,Sejad Salihovic,2017,41,Jugoslawien (SFR),38,Central Midfield,Midfield,left,182.0,L1,Hamburger SV
9506,Craig Beattie,2012,2578,Scotland,39,Centre-Forward,Attack,right,183.0,SC1,St. Johnstone FC
9604,Sherjill MacDonald,2014,968,Netherlands,38,Centre-Forward,Attack,right,183.0,BE1,KVC Westerlo
9667,Stijn Stijnen,2012,566,Belgium,42,Goalkeeper,Goalkeeper,right,188.0,BE1,Beerschot AC
9798,Maksim Shatskikh,2014,6996,UdSSR,44,Centre-Forward,Attack,right,187.0,UKR1,Goverla Uzhgorod (- 2016)
9980,Rob Hulse,2012,1039,England,43,Centre-Forward,Attack,right,185.0,GB1,Queens Park Rangers
10003,Wes Morgan,2020,1003,England,39,Centre-Back,Defender,right,185.0,GB1,Leicester City
10183,Dani Fernández,2014,653,Spain,40,Right-Back,Defender,right,181.0,GR1,OFI Crete FC
10244,Bernt Evens,2012,520,Belgium,44,Left-Back,Defender,left,189.0,BE1,Cercle Brugge
10471,Luiz Gustavo,2021,36,Brazil,35,Defensive Midfield,Midfield,left,187.0,TR1,Fenerbahce
12515,Guirane N'Daw,2014,347,Senegal,39,Defensive Midfield,Midfield,left,189.0,FR1,FC Metz
12597,Alan Maybury,2012,903,Ireland,44,Right-Back,Defender,right,180.0,SC1,Hibernian FC
12709,Danny Gabbidon,2013,873,Wales,43,Centre-Back,Defender,right,178.0,GB1,Crystal Palace
12765,Russell Anderson,2014,370,Scotland,44,Centre-Back,Defender,right,186.0,SC1,Aberdeen FC
12813,Barry Smith,2012,511,Scotland,49,Right-Back,Defender,right,178.0,SC1,Dundee FC
12988,Stelios Sfakianakis,2013,6418,Germany,47,Central Midfield,Midfield,left,177.0,GR1,Panetolikos GFS
13047,Daniel Cruz,2012,28643,Colombia,42,Attacking Midfield,Midfield,right,181.0,BE1,SK Beveren
13061,Carl Hoefkens,2014,2861,Belgium,44,Right-Back,Defender,right,185.0,BE1,KV Oostende
13103,Björn Vleminckx,2017,1096,Belgium,37,Centre-Forward,Attack,right,183.0,BE1,Royal Antwerp FC
13283,Bram Castro,2020,2861,Belgium,40,Goalkeeper,Goalkeeper,right,191.0,BE1,KV Oostende
